Date,value_gold,value_oil,value_silver,value_ruth,value_irid,value_pall,value_rhod,value_plat
2015-03-25,0.9378515999999999,1.0000177,1.00000285,0.99946,0.9201,0.96135,0.9881,1.00034
2015-03-26,0.9259293999999999,1.0000177,0.99983335,0.99946,0.9143,0.95365,0.9881,1.00034
2015-03-27,0.9139144999999999,1.0000177,0.9996628,0.99892,0.9085,0.94593,0.99975,1.00034
2015-03-30,0.9018717499999999,1.0000177,0.9998336,0.99838,0.9027,0.93839,0.99975,1.00034
2015-04-01,0.8899265499999999,1.0000177,0.999665,0.99892,0.9027,0.93102,0.9881,1.00034
2015-04-02,0.8780543499999999,1.0000177,0.9998317999999999,0.99842,0.9027,0.93847,0.99975,1.00034
2015-04-07,0.8659996999999998,1.0000177,0.9998317999999999,0.99892,0.8969,0.93094,0.99975,1.00034
2015-04-08,0.8538484999999999,1.0000177,1.000001,0.99892,0.9027,0.92317,0.99975,1.00034
2015-04-09,0.8417307999999999,0.9995132999999998,0.9998322499999999,0.99942,0.9085,0.91548,0.99975,1.00034
2015-04-10,0.8537316999999999,1.0000211999999997,0.9998322499999999,0.99942,0.9143,0.92311,0.99975,1.00034
2015-04-13,0.8417520999999998,1.0000211999999997,0.9998322499999999,0.99892,0.9201,0.92311,0.99975,1.00034
2015-04-14,0.8538232999999997,1.0000211999999997,0.9998322499999999,0.99842,0.9259,0.93091,0.99975,1.00034
2015-04-15,0.8538232999999997,1.0000211999999997,0.99966935,0.99892,0.9317,0.93857,0.99975,1.00034
2015-04-16,0.8657725999999997,1.0000211999999997,0.99966935,0.99942,0.9375,0.93093,0.99975,1.00034
2015-04-17,0.8537045499999997,1.0000211999999997,0.9998336999999999,0.99992,0.9433,0.93093,0.99975,1.00034
2015-04-20,0.8416843999999998,1.0000211999999997,0.9996703,0.99992,0.9491,0.92311,0.99975,1.00034
2015-04-21,0.8296178999999998,1.0000211999999997,0.99983345,0.99942,0.9549,0.92311,0.99975,1.00034
2015-04-22,0.8296178999999998,1.0000211999999997,0.9999933500000001,0.99942,0.9607,0.91535,0.99975,0.98884
2015-04-23,0.8296178999999998,0.9994594999999998,0.9999933500000001,0.99942,0.9665,0.92299,0.99975,1.00022
2015-04-24,0.8415136499999998,0.9994594999999998,0.9998347500000001,0.99892,0.9723,0.93063,0.99975,1.00022
2015-04-28,0.8534630999999998,0.9994594999999998,0.9999936500000001,0.99842,0.9781,0.93063,0.99975,1.00022
2015-04-29,0.8414351499999998,0.9994594999999998,0.9999936500000001,0.99792,0.9839,0.92289,0.99975,1.00022
2015-05-01,0.8293158999999998,0.9994594999999998,0.9998277500000001,0.99842,0.9897,0.91511,0.99975,1.00022
2015-05-04,0.8411654999999999,1.0000505,0.9999896,0.99842,0.9955,0.91511,0.99975,1.00022
2015-05-05,0.8411654999999999,1.0000505,0.9999896,0.99842,1.0013,0.92291,0.99975,1.00022
2015-05-06,0.85306365,1.0000505,0.99982505,0.99792,1.0013,0.91495,0.99975,1.00022
